days_since_last_snapshot,date,player_id,age,value_change_180d,slope,label,club_change,num_snapshots_before_t
,2019-11-21,1,18,,,stable,,0
29.0,2019-12-20,1,18,,,stable,,1
234.0,2020-08-10,1,19,0.0,-1.5805345542636257e-13,increase,True,2
324.0,2021-06-30,1,20,2.0,9.212992063094124e-14,increase,False,3
32.0,2021-08-01,1,19,2.0,165.86219550060687,increase,False,4
151.0,2021-12-30,1,20,1.6666666666666667,193.03959212466046,stable,True,5
66.0,2022-03-06,1,21,1.6666666666666667,602.3897816234032,stable,True,6
127.0,2022-07-11,1,21,0.0,1171.2344811431246,stable,False,7
337.0,2023-06-13,1,22,0.0,723.6949097414207,stable,False,8
190.0,2023-12-20,1,22,0.0,-2.9051224332066214e-13,increase,False,9
187.0,2024-06-24,1,23,1.0,-1.6121110077434903e-13,increase,False,10
139.0,2024-11-10,1,23,24.0,458.76664285483497,increase,False,11
47.0,2024-12-27,1,23,11.5,15845.936954074945,increase,False,12
84.0,2025-03-21,1,23,24.0,29049.628528974743,increase,False,13
169.0,2025-09-06,1,24,1.5,67370.12457338999,increase,False,14
,2012-09-30,2,17,,,increase,,0
154.0,2013-03-03,2,18,,,increase,,1
313.0,2014-01-10,2,19,1.0,649.3506493506491,increase,False,2
431.0,2015-03-17,2,20,0.6,756.679439862968,stable,False,3
181.0,2015-09-14,2,20,0.0,731.5397976637187,loss,False,4
114.0,2016-01-06,2,21,-0.25,623.3227755885638,stable,False,5
68.0,2016-03-14,2,21,-0.1875,248.9011714008705,stable,False,6
184.0,2016-09-14,2,21,-0.07692307692307693,-529.7735023933255,increase,True,7
180.0,2017-03-13,2,22,1.0,-457.7040346025677,increase,False,8
224.0,2017-10-23,2,22,0.25,1238.3573243014387,increase,False,9
146.0,2018-03-18,2,23,0.25,1622.4033102516455,increase,False,10
191.0,2018-09-25,2,23,0.16666666666666666,1620.3638175363908,increase,False,11
356.0,2019-09-16,2,24,3.5714285714285716,919.168165808283,increase,False,12
48.0,2019-11-03,2,24,0.7142857142857143,9667.21110657411,increase,False,13
54.0,2019-12-27,2,24,6.428571428571429,7114.008458498262,stable,False,14
213.0,2020-07-27,2,25,-0.038461538461538464,16867.504948189548,increase,False,15
8.0,2020-08-04,2,25,-0.19230769230769232,20118.182171597407,increase,False,16
146.0,2020-12-28,2,25,0.0,18287.287385704436,loss,False,17
151.0,2021-05-28,2,26,0.42857142857142855,-850.3804813956513,loss,False,18
216.0,2021-12-30,2,26,-0.3333333333333333,11347.443714351102,stable,False,19
158.0,2022-06-06,2,27,-0.43333333333333335,-752.375008667902,increase,False,20
66.0,2022-08-11,2,27,-0.15,-10718.867658169034,increase,False,21
134.0,2022-12-23,2,27,0.6470588235294118,-15107.869842568354,stable,False,22
165.0,2023-06-06,2,28,0.4117647058823529,10149.990964399742,stable,False,23
113.0,2023-09-27,2,28,-0.14285714285714285,12272.434593465592,stable,True,24
85.0,2023-12-21,2,28,0.0,5932.110989682511,stable,True,25
85.0,2024-03-15,2,29,-0.08333333333333333,-5455.6038392289065,stable,True,26
